Make,Model,Year,EngineCapacity,TransmissionType,HandlingCapability,InstrumentsAndControls,SafetyAndSecurity,ExteriorDesign,InteriorDesign,AudioSystem,ComfortAndConvenience,MaintenancePrograms,ExtraPackages
Toyota,Corolla Hatchback,2016,2,Manual,Anti-lock Brakes| Traction ControlTPAS,Navigation| Service Indicator,Lane Assist|  Automatic Fuel cut-off| Front and Side Airbags,Alloy Wheels| Metallic Paint,Rear Cup Holders| Adjustable Seats| Glove Box,Bluetooth| Smart Radio,Automatic Wipers| Sunroof,36-month/36|000-mile limited warranty, Sports Package
Toyota,Camry,1992,2.5,Manual,Anti-lock Brakes| Power Steering,on-board Computer| Service Indicator, Automatic Fuel cut-off| Rear-view Camera| Lane Assist,Trim| Alloy Wheels,Leather upholstery| Rear Cup Holders| Screen,CD Player| Satellite Radio,SelfLock| Cruise Control,,Premium Package
Toyota,Avalon,2000,2,Automatic,4-Wheel Drive| Power Steering,Navigation| on-board Computer,Front and Side Airbags| Rear-view Camera|  Automatic Fuel cut-off,Sunroof| Alloy Wheels,Glove Box| Rear Cup Holders| Leather upholstery,Satellite Radio| Smart Radio,SelfLock| KeyLess Entry,36-month/36|000-mile limited warranty, Sports Package
Toyota,Corolla Hybrid,2020,5,Automatic,Power Steering| 4-Wheel Drive,on-board Computer| Service Indicator,Lane Assist| Front and Side Airbags|  Automatic Fuel cut-off,Trim| Metallic Paint,Adjustable Seats| Rear Cup Holders| Glove Box,CD Player| Smart Radio,Remote Start| SelfLock,, Basic Package
Toyota,Mirai,1990,2.4,Automatic,Anti-lock Brakes| Power Steering,on-board Computer| Navigation,Seatbelt Sensor|  Automatic Fuel cut-off| Lane Assist,Trim| Sunroof,Screen| Leather upholstery| Rear Cup Holders,AM/FM Radio| Bluetooth,Heated Seats| SelfLock,, Basic Package
Toyota,Mirai,1995,4.8,Manual,Traction ControlTPAS| 4-Wheel Drive,Service Indicator| Navigation,Lane Assist| Front and Side Airbags| Rear-view Camera,Metallic Paint| Alloy Wheels,Glove Box| Adjustable Seats| Leather upholstery,Bluetooth| CD Player,SelfLock| Sunroof,36-month/36|000-mile limited warranty,Premium Package
Toyota,Prius,1994,2.4,Manual,Power Steering| Traction ControlTPAS,on-board Computer| Navigation, Automatic Fuel cut-off| Rear-view Camera| Front and Side Airbags,Sunroof| Trim,Glove Box| Screen| Adjustable Seats,CD Player| AM/FM Radio,SelfLock| Automatic Wipers,, Basic Package
Toyota,Avalon Hybrid,2001,5,Manual,Power Steering| Anti-lock Brakes,Service Indicator| Navigation,Rear-view Camera| Seatbelt Sensor|  Automatic Fuel cut-off,Trim| Alloy Wheels,Glove Box| Rear Cup Holders| Screen,Satellite Radio| Bluetooth,Automatic Wipers| Sunroof,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,Yaris Hatchback,2002,3,Automatic,Traction ControlTPAS| 4-Wheel Drive,on-board Computer| Service Indicator, Automatic Fuel cut-off| Seatbelt Sensor| Front and Side Airbags,Alloy Wheels| Trim,Rear Cup Holders| Adjustable Seats| Leather upholstery,Smart Radio| Satellite Radio,Remote Start| Automatic Wipers,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,GR Supra,2013,4.8,Automatic,4-Wheel Drive| Anti-lock Brakes,Navigation| Service Indicator,Seatbelt Sensor|  Automatic Fuel cut-off| Lane Assist,Sunroof| Metallic Paint,Screen| Leather upholstery| Adjustable Seats,Bluetooth| Smart Radio,Automatic Wipers| Heated Seats,36-month/36|000-mile limited warranty, Basic Package
Toyota,Yaris Hatchback,2005,5,Automatic,Traction ControlTPAS| Anti-lock Brakes,Navigation| Service Indicator,Seatbelt Sensor|  Automatic Fuel cut-off| Front and Side Airbags,Sunroof| Metallic Paint,Glove Box| Adjustable Seats| Screen,Smart Radio| Satellite Radio,SelfLock| Heated Seats,TCUV warranty, Sports Package
Toyota,Camry Hybrid,1994,2.5,Automatic,Anti-lock Brakes| 4-Wheel Drive,Navigation| Service Indicator,Lane Assist| Seatbelt Sensor|  Automatic Fuel cut-off,Trim| Metallic Paint,Screen| Rear Cup Holders| Leather upholstery,CD Player| Smart Radio,Remote Start| Cruise Control,4-year/50|000-mile bumper-to-bumper warranty,Premium Package
Toyota,86,2010,4.5,Manual,Power Steering| Anti-lock Brakes,Navigation| on-board Computer,Rear-view Camera| Lane Assist| Front and Side Airbags,Sunroof| Trim,Adjustable Seats| Leather upholstery| Rear Cup Holders,Satellite Radio| AM/FM Radio,Sunroof| Heated Seats,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,Yaris Hatchback,2008,3,Manual,Traction ControlTPAS| Anti-lock Brakes,Service Indicator| Navigation, Automatic Fuel cut-off| Front and Side Airbags| Lane Assist,Metallic Paint| Trim,Glove Box| Rear Cup Holders| Screen,Bluetooth| Satellite Radio,Remote Start| Sunroof,, Sports Package
Toyota,Camry Hybrid,2000,2.8,Manual,4-Wheel Drive| Power Steering,Service Indicator| Navigation,Lane Assist| Rear-view Camera| Seatbelt Sensor,Alloy Wheels| Metallic Paint,Rear Cup Holders| Leather upholstery| Glove Box,Bluetooth| Satellite Radio,SelfLock| Cruise Control,4-year/50|000-mile bumper-to-bumper warranty, Sports Package
Toyota,Prius Prime,2000,4.5,Automatic,4-Wheel Drive| Power Steering,Navigation| on-board Computer, Automatic Fuel cut-off| Lane Assist| Seatbelt Sensor,Alloy Wheels| Sunroof,Glove Box| Adjustable Seats| Leather upholstery,Bluetooth| Satellite Radio,Remote Start| Cruise Control,36-month/36|000-mile limited warranty, Basic Package
Toyota,Corolla,1993,2.5,Automatic,Power Steering| Anti-lock Brakes,on-board Computer| Navigation,Rear-view Camera|  Automatic Fuel cut-off| Front and Side Airbags,Alloy Wheels| Trim,Glove Box| Rear Cup Holders| Leather upholstery,Smart Radio| Bluetooth,Heated Seats| KeyLess Entry,TCUV warranty, Basic Package
Toyota,Yaris Hatchback,1997,2,Manual,Power Steering| Traction ControlTPAS,Service Indicator| Navigation,Lane Assist|  Automatic Fuel cut-off| Rear-view Camera,Sunroof| Trim,Adjustable Seats| Screen| Leather upholstery,Bluetooth| Smart Radio,SelfLock| Remote Start,TCUV warranty,Premium Package
Toyota,Corolla Hybrid,2019,2.5,Automatic,Traction ControlTPAS| 4-Wheel Drive,on-board Computer| Navigation,Front and Side Airbags|  Automatic Fuel cut-off| Seatbelt Sensor,Metallic Paint| Sunroof,Screen| Rear Cup Holders| Adjustable Seats,Bluetooth| Smart Radio,Remote Start| KeyLess Entry,4-year/50|000-mile bumper-to-bumper warranty, Sports Package
Toyota,Yaris Hatchback,2015,3.4,Automatic,Power Steering| Anti-lock Brakes,on-board Computer| Navigation,Lane Assist| Seatbelt Sensor| Front and Side Airbags,Sunroof| Alloy Wheels,Rear Cup Holders| Adjustable Seats| Glove Box,Bluetooth| CD Player,Remote Start| SelfLock,36-month/36|000-mile limited warranty, Basic Package
Toyota,Mirai,1999,5,Automatic,Power Steering| 4-Wheel Drive,Navigation| on-board Computer,Lane Assist|  Automatic Fuel cut-off| Seatbelt Sensor,Alloy Wheels| Trim,Screen| Leather upholstery| Adjustable Seats,CD Player| Satellite Radio,Sunroof| KeyLess Entry,4-year/50|000-mile bumper-to-bumper warranty,Premium Package
Toyota,Corolla,2012,2.4,Manual,Anti-lock Brakes| Traction ControlTPAS,on-board Computer| Navigation, Automatic Fuel cut-off| Rear-view Camera| Lane Assist,Metallic Paint| Sunroof,Screen| Rear Cup Holders| Adjustable Seats,CD Player| Bluetooth,SelfLock| Cruise Control,4-year/50|000-mile bumper-to-bumper warranty,Premium Package
Toyota,Prius Prime,2014,4.8,Manual,Traction ControlTPAS| Power Steering,Navigation| Service Indicator,Rear-view Camera|  Automatic Fuel cut-off| Front and Side Airbags,Trim| Metallic Paint,Rear Cup Holders| Glove Box| Adjustable Seats,Smart Radio| Bluetooth,SelfLock| Sunroof,36-month/36|000-mile limited warranty, Sports Package
Toyota,Camry Hybrid,1996,2.5,Automatic,Traction ControlTPAS| Power Steering,on-board Computer| Service Indicator, Automatic Fuel cut-off| Lane Assist| Seatbelt Sensor,Trim| Alloy Wheels,Rear Cup Holders| Adjustable Seats| Screen,Bluetooth| CD Player,Sunroof| Automatic Wipers,,Premium Package
Toyota,Camry,1998,4.5,Manual,Power Steering| Traction ControlTPAS,on-board Computer| Service Indicator,Lane Assist| Front and Side Airbags| Rear-view Camera,Trim| Sunroof,Rear Cup Holders| Screen| Adjustable Seats,Bluetooth| AM/FM Radio,SelfLock| KeyLess Entry,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,Corolla Hatchback,2019,2,Automatic,Traction ControlTPAS| Anti-lock Brakes,Service Indicator| Navigation,Front and Side Airbags| Seatbelt Sensor|  Automatic Fuel cut-off,Metallic Paint| Trim,Glove Box| Rear Cup Holders| Leather upholstery,CD Player| Smart Radio,SelfLock| Heated Seats,4-year/50|000-mile bumper-to-bumper warranty, Sports Package
Toyota,Camry,1997,4.5,Automatic,Anti-lock Brakes| 4-Wheel Drive,Navigation| on-board Computer,Seatbelt Sensor| Lane Assist| Front and Side Airbags,Trim| Metallic Paint,Rear Cup Holders| Adjustable Seats| Leather upholstery,Bluetooth| CD Player,Sunroof| Heated Seats,36-month/36|000-mile limited warranty, Basic Package
Toyota,Camry Hybrid,1991,3.4,Automatic,Anti-lock Brakes| Traction ControlTPAS,Service Indicator| Navigation,Lane Assist|  Automatic Fuel cut-off| Rear-view Camera,Trim| Sunroof,Glove Box| Rear Cup Holders| Adjustable Seats,Bluetooth| Smart Radio,Heated Seats| Cruise Control,TCUV warranty, Sports Package
Toyota,Corolla Hybrid,1996,2.5,Manual,Anti-lock Brakes| Power Steering,Navigation| on-board Computer,Seatbelt Sensor| Front and Side Airbags|  Automatic Fuel cut-off,Metallic Paint| Alloy Wheels,Glove Box| Screen| Rear Cup Holders,Smart Radio| Bluetooth,Heated Seats| Cruise Control,, Basic Package
Toyota,Prius Prime,1996,2,Manual,Anti-lock Brakes| Power Steering,on-board Computer| Navigation,Seatbelt Sensor| Rear-view Camera| Front and Side Airbags,Alloy Wheels| Sunroof,Rear Cup Holders| Adjustable Seats| Leather upholstery,Bluetooth| Smart Radio,Sunroof| Remote Start,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,Avalon,2009,2,Automatic,Power Steering| Traction ControlTPAS,on-board Computer| Service Indicator, Automatic Fuel cut-off| Rear-view Camera| Front and Side Airbags,Trim| Alloy Wheels,Adjustable Seats| Rear Cup Holders| Screen,Bluetooth| CD Player,Heated Seats| Sunroof,TCUV warranty, Basic Package
Toyota,Camry,1995,3.4,Manual,Traction ControlTPAS| Anti-lock Brakes,Navigation| on-board Computer,Lane Assist| Front and Side Airbags| Seatbelt Sensor,Metallic Paint| Trim,Screen| Glove Box| Adjustable Seats,Bluetooth| AM/FM Radio,Sunroof| Remote Start,4-year/50|000-mile bumper-to-bumper warranty,Premium Package
Toyota,Mirai,2013,3.4,Manual,4-Wheel Drive| Power Steering,Navigation| Service Indicator, Automatic Fuel cut-off| Seatbelt Sensor| Front and Side Airbags,Sunroof| Metallic Paint,Adjustable Seats| Rear Cup Holders| Glove Box,AM/FM Radio| Bluetooth,Remote Start| SelfLock,TCUV warranty, Basic Package
Toyota,Yaris,2012,2,Automatic,4-Wheel Drive| Power Steering,on-board Computer| Navigation,Rear-view Camera|  Automatic Fuel cut-off| Lane Assist,Trim| Sunroof,Screen| Glove Box| Leather upholstery,Satellite Radio| Bluetooth,Sunroof| SelfLock,36-month/36|000-mile limited warranty, Basic Package
Toyota,GR Supra,2012,3.4,Automatic,Traction ControlTPAS| Power Steering,on-board Computer| Navigation,Front and Side Airbags| Rear-view Camera|  Automatic Fuel cut-off,Sunroof| Trim,Glove Box| Leather upholstery| Screen,AM/FM Radio| Satellite Radio,SelfLock| Sunroof,,Premium Package
Toyota,86,1990,3,Automatic,Anti-lock Brakes| Traction ControlTPAS,Service Indicator| Navigation,Seatbelt Sensor| Rear-view Camera| Front and Side Airbags,Sunroof| Trim,Screen| Adjustable Seats| Rear Cup Holders,AM/FM Radio| CD Player,KeyLess Entry| Heated Seats,4-year/50|000-mile bumper-to-bumper warranty, Sports Package
Toyota,Prius,2003,2.4,Manual,Anti-lock Brakes| Traction ControlTPAS,on-board Computer| Navigation,Seatbelt Sensor| Front and Side Airbags| Lane Assist,Trim| Sunroof,Rear Cup Holders| Leather upholstery| Adjustable Seats,Smart Radio| Bluetooth,Sunroof| Heated Seats,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,Camry,1994,4.5,Automatic,Power Steering| Traction ControlTPAS,Service Indicator| on-board Computer,Seatbelt Sensor| Rear-view Camera| Front and Side Airbags,Trim| Sunroof,Glove Box| Rear Cup Holders| Adjustable Seats,AM/FM Radio| Smart Radio,Automatic Wipers| Remote Start,TCUV warranty, Sports Package
Toyota,Mirai,1991,3,Automatic,Power Steering| Anti-lock Brakes,on-board Computer| Navigation, Automatic Fuel cut-off| Rear-view Camera| Lane Assist,Metallic Paint| Trim,Glove Box| Rear Cup Holders| Leather upholstery,Satellite Radio| Smart Radio,Cruise Control| Automatic Wipers,36-month/36|000-mile limited warranty,Premium Package
Toyota,Corolla,2018,2.8,Manual,Anti-lock Brakes| 4-Wheel Drive,Service Indicator| on-board Computer,Rear-view Camera| Lane Assist|  Automatic Fuel cut-off,Trim| Metallic Paint,Glove Box| Screen| Rear Cup Holders,Satellite Radio| AM/FM Radio,Cruise Control| SelfLock,, Sports Package
Toyota,Yaris,2008,2,Manual,Anti-lock Brakes| Power Steering,Service Indicator| on-board Computer,Rear-view Camera| Seatbelt Sensor| Front and Side Airbags,Alloy Wheels| Trim,Leather upholstery| Adjustable Seats| Screen,Satellite Radio| AM/FM Radio,Heated Seats| Remote Start,, Sports Package
Toyota,86,1992,3.4,Automatic,Traction ControlTPAS| 4-Wheel Drive,on-board Computer| Service Indicator,Lane Assist| Seatbelt Sensor|  Automatic Fuel cut-off,Trim| Alloy Wheels,Glove Box| Rear Cup Holders| Screen,CD Player| Satellite Radio,Heated Seats| Remote Start,4-year/50|000-mile bumper-to-bumper warranty, Sports Package
Toyota,Yaris Hatchback,2017,4.8,Manual,Power Steering| 4-Wheel Drive,on-board Computer| Navigation,Seatbelt Sensor|  Automatic Fuel cut-off| Rear-view Camera,Alloy Wheels| Trim,Rear Cup Holders| Screen| Leather upholstery,Smart Radio| Bluetooth,KeyLess Entry| Heated Seats,36-month/36|000-mile limited warranty, Basic Package
Toyota,Corolla Hybrid,2013,2,Automatic,4-Wheel Drive| Traction ControlTPAS,Navigation| Service Indicator, Automatic Fuel cut-off| Lane Assist| Seatbelt Sensor,Alloy Wheels| Trim,Screen| Adjustable Seats| Leather upholstery,AM/FM Radio| Satellite Radio,KeyLess Entry| Sunroof,36-month/36|000-mile limited warranty, Basic Package
Toyota,Yaris,2007,3.4,Automatic,Traction ControlTPAS| Power Steering,Service Indicator| Navigation,Rear-view Camera| Seatbelt Sensor|  Automatic Fuel cut-off,Sunroof| Metallic Paint,Leather upholstery| Screen| Rear Cup Holders,AM/FM Radio| Bluetooth,KeyLess Entry| SelfLock,, Basic Package
Toyota,Corolla Hatchback,2020,2.5,Automatic,4-Wheel Drive| Anti-lock Brakes,Navigation| Service Indicator, Automatic Fuel cut-off| Front and Side Airbags| Lane Assist,Metallic Paint| Sunroof,Adjustable Seats| Glove Box| Screen,Satellite Radio| CD Player,SelfLock| Remote Start,, Basic Package
Toyota,Prius,2018,4.5,Manual,4-Wheel Drive| Traction ControlTPAS,on-board Computer| Navigation,Front and Side Airbags|  Automatic Fuel cut-off| Lane Assist,Trim| Alloy Wheels,Leather upholstery| Glove Box| Screen,AM/FM Radio| Smart Radio,Automatic Wipers| Sunroof,36-month/36|000-mile limited warranty,Premium Package
Toyota,Corolla Hatchback,1999,3.4,Automatic,4-Wheel Drive| Anti-lock Brakes,on-board Computer| Navigation,Rear-view Camera| Front and Side Airbags| Seatbelt Sensor,Metallic Paint| Alloy Wheels,Screen| Leather upholstery| Rear Cup Holders,AM/FM Radio| CD Player,Cruise Control| SelfLock,, Basic Package
Toyota,Prius Prime,2014,4.8,Automatic,Anti-lock Brakes| Traction ControlTPAS,Navigation| Service Indicator, Automatic Fuel cut-off| Rear-view Camera| Front and Side Airbags,Alloy Wheels| Sunroof,Screen| Leather upholstery| Adjustable Seats,AM/FM Radio| Bluetooth,SelfLock| Heated Seats,, Basic Package
